term,Quantity
Stir-Fry,15
white rice,2
meat,12
Protein,2
sirloin steak,1
pork shoulder,1
chicken thighs,1
Seafood,1
shrimp,1
scallops,1
steak,2
pork,1
chicken,1
soy sauce,3
cornstarch,2
neutral oil,1
soy,1
sauce,7
oil,1
veggies,3
vegetables,6
Asparagus,2
snap peas,1
string beans,1
snow peas,1
greens,1
bok choy,1
carrots,1
sweet potatoes,1
cauliflower,1
Sliced ginger,1
smashed garlic,1
scallion,1
vegetable,1
oyster sauce,1
mirin,1
rice vinegar,1
vegetable oil,2
aromatics,2
kosher salt,1
scallions,2
rice,1
sesame seeds,1
snap pea,1